Modelo,F1-macro,Acurácia,Precisão,Recall,MCC,Kappa,F1-Alta,F1-Média,F1-Baixa
NB (TF-IDF),0.475 ± 0.025,0.489 ± 0.025,0.485 ± 0.025,0.517 ± 0.029,0.238 ± 0.038,0.229 ± 0.036,0.389 ± 0.046,0.478 ± 0.028,0.558 ± 0.040
LogReg (TF-IDF),0.508 ± 0.027,0.540 ± 0.028,0.507 ± 0.029,0.512 ± 0.027,0.258 ± 0.046,0.257 ± 0.045,0.390 ± 0.043,0.536 ± 0.054,0.597 ± 0.027
SVM (TF-IDF),0.520 ± 0.031,0.548 ± 0.030,0.517 ± 0.030,0.531 ± 0.031,0.280 ± 0.046,0.278 ± 0.047,0.413 ± 0.050,0.537 ± 0.053,0.609 ± 0.029
Decision Tree (TF-IDF),0.395 ± 0.035,0.458 ± 0.025,0.412 ± 0.035,0.403 ± 0.031,0.111 ± 0.043,0.107 ± 0.042,0.226 ± 0.085,0.406 ± 0.066,0.552 ± 0.038
RF (Emb),0.495 ± 0.030,0.540 ± 0.023,0.509 ± 0.032,0.488 ± 0.028,0.240 ± 0.040,0.239 ± 0.039,0.347 ± 0.068,0.559 ± 0.024,0.578 ± 0.031
KNN (Emb),0.377 ± 0.031,0.377 ± 0.031,0.452 ± 0.031,0.461 ± 0.031,0.165 ± 0.042,0.139 ± 0.037,0.329 ± 0.028,0.408 ± 0.049,0.394 ± 0.048
XGBoost (Emb),0.495 ± 0.023,0.529 ± 0.023,0.502 ± 0.027,0.491 ± 0.021,0.228 ± 0.034,0.227 ± 0.034,0.380 ± 0.050,0.534 ± 0.037,0.570 ± 0.027
LightGBM (Emb),0.485 ± 0.028,0.539 ± 0.024,0.514 ± 0.033,0.477 ± 0.026,0.230 ± 0.040,0.229 ± 0.040,0.319 ± 0.055,0.553 ± 0.024,0.583 ± 0.030
CatBoost (Emb),0.493 ± 0.025,0.526 ± 0.022,0.503 ± 0.026,0.489 ± 0.026,0.222 ± 0.037,0.222 ± 0.037,0.382 ± 0.050,0.545 ± 0.024,0.552 ± 0.034
MLP (Emb),0.501 ± 0.026,0.538 ± 0.024,0.507 ± 0.024,0.499 ± 0.028,0.243 ± 0.042,0.243 ± 0.042,0.377 ± 0.044,0.542 ± 0.028,0.585 ± 0.035
★ Stacking (Híbrido),0.511 ± 0.024,0.526 ± 0.023,0.515 ± 0.020,0.554 ± 0.024,0.286 ± 0.030,0.277 ± 0.031,0.438 ± 0.032,0.498 ± 0.043,0.598 ± 0.023
⬥ Voto Ponderado (Fusão),0.502 ± 0.032,0.528 ± 0.024,0.498 ± 0.030,0.513 ± 0.037,0.252 ± 0.041,0.251 ± 0.040,0.390 ± 0.077,0.538 ± 0.035,0.578 ± 0.014
